a	b	c	d	e	f	g	h	i	j
1328	1.27	5.26	1.79	3.31	2.54	13.49	12.92	14.1	2.22	24.76
1329	1.17	22.14	2.32	5.63	12.75	2.13	2.48	3.24	29.53	8.04
1330	22.35	1.35	23.93	27.62	3.69	20.58	12.65	6.81	6.46	11.23
1331	3.47	2.3	15.29	14.33	16.92	7.05	5.13	3.61	1.41	31.63
1332	20.11	29.56	28.28	1.73	1.87	1.45	25.21	27.11	3.03	7.31
1333	1.32	13.55	14.09	5.41	1.67	18.18	2	1.36	1.04	3.41
1334	4.16	2.4	27.34	1.3	2.9	17.29	21.23	20.32	1.07	4.27
1335	15.17	2.51	1.24	9.22	3.48	1	7.11	3.26	1.06	21
1336	10.09	4.42	5.77	17.35	4.46	8.42	3.28	9.07	2.98	17.48
1337	5.6	1.26	6.86	0.97	15.87	2.87	3.08	9.17	9.74	2.21
1338	23.56	7.79	3.73	7.8	8.53	1.75	1.42	1.21	10.62	6.49
1339	31.49	20.21	4.49	4.49	1.5	2.11	1.06	2.64	9.66	5.99
1340	2.55	2.32	23.32	2.54	3.18	4.66	11.48	3.53	8.35	29.02
1341	1.37	1.23	1.32	16.64	16.16	14.85	4.79	20.15	14.14	10.47
1342	1.69	1.22	6.33	3.81	9.44	3.07	1.28	7.16	2.34	3.78
1343	21.2	9.21	10.77	9.98	14.45	1.99	2.64	1.2	6.04	3.23
1344	1.58	5.23	15.64	5.37	3	19.07	1.44	8.36	13.14	2.82
1345	3.42	2.15	3.11	3.16	1.91	2.2	5.54	1.27	14.61	7.34
1346	1.79	8.37	4.45	1.16	25.44	1.75	18.56	10.29	8.08	1.73
1347	1.1	36.4	4.39	25.4	11.46	14.35	5.02	1.37	2.71	21.74
1348	2.44	9.52	1.92	9.62	9.32	3.12	6.28	7.38	1.55	2
1349	11.31	5.17	0.97	23.34	24.86	5.11	4.27	1.76	1.67	1.12
1350	7.14	2.16	10.19	1.9	9.14	3.59	2.36	3.3	6.58	27.71
1351	1.11	1.95	17.07	9.37	19.21	13.42	1.17	1.13	12.11	1.98
1352	1.83	1.23	19.28	2.31	1.35	0.77	25.01	14.36	1.17	3.07
1353	1.79	2.31	12.64	10.39	1.16	2.32	1.8	3.14	1.11	11.19
1354	4.06	2.07	6.01	1.79	1	8.9	31.15	5.72	2.69	3.32
1355	2.32	6.82	8.09	1.24	4.47	8.84	2.42	10.07	24.58	21.67
1356	7.32	4.77	10.31	1.96	20.95	15.15	1.12	18.21	7.64	2.17
1357	5.77	3.59	2.88	2.61	29.28	4.07	5.29	4.33	21.13	8.83
1358	1.43	1.04	5.05	28.32	5.18	24.46	1.91	5.96	4.05	1.06
1359	1.71	1.09	2.91	1.63	1.22	0.97	3.01	26.17	9.67	7.78
1360	22.85	1.37	10.5	7.74	3.23	2.81	5.43	22.18	8.5	15.02
1361	20.39	1.23	8.2	3.68	2.61	8.56	1.91	9.41	1.18	11.31
1362	21.44	2.22	1.94	7.32	19.95	1.18	1.31	7.52	13.75	1.3
1363	1.66	7.9	2.43	8.75	9.46	10.86	1.36	2.79	27.3	0.99
1364	1.22	4.66	1.21	7.32	11.36	1.65	29.15	2.17	2.92	10.95
1365	6.98	6.96	11.93	9.05	5.47	15.85	11.08	4.37	9.36	21.28
1366	2.85	1.23	13.12	6.09	21.98	6.44	9.56	28.17	1.26	26.4
1367	7.24	2.53	16.49	1.9	4.19	6.39	3.4	19.18	1.93	9.8
1368	2.99	18.14	27.29	15.06	2.83	13.61	16.17	30.22	11.11	25.97
1369	1.93	2.78	22.74	16.02	3.73	15.87	1.27	2.69	15.6	5.23
1370	6.25	1.67	5.39	6.59	13.21	2.2	2.23	18.02	7.94	0.96
1371	3.08	10.15	2.12	24.68	31.63	1.43	18.9	6.81	1.97	1.24
1372	1.54	1.61	16.93	1.45	6.31	26.73	21.02	1.43	12.05	15.54
1373	2.33	2.71	5.43	15.02	0.96	17.73	9.11	1.44	1.39	10.67
1374	2.94	1.76	12.96	22.82	1.23	0.89	17.77	22.28	6.49	4.01
1375	17.4	3.81	7.05	0.89	27.15	8.33	1.67	1.88	2.62	2.42
1376	12.19	7.9	14.22	11.67	5.6	8.36	29.92	7.52	2.17	5.66
1377	24.55	3.62	1.81	1.4	30.4	4	20.31	30.37	6.36	25.98
1378	19.4	4.69	5.65	4.91	15.79	4.8	3.75	4.15	33.42	11.43
1379	1.62	3.94	11.07	6.67	2.47	1.61	2.35	2.28	1.81	0.99
1380	7.72	1.77	26.34	1.12	3.56	4.76	1.67	15.44	2.32	10.21
1381	16.47	5.99	7.76	7.14	9.66	15.45	5.82	1.93	9.08	6.89
1382	8.01	1.17	3.55	12.65	1.25	2.15	7.62	23.84	15.61	11.03
1383	4.88	1.79	2.07	2.82	12.29	2.11	4.9	2.29	6.74	2.3
1384	1.98	16.07	1.78	6.52	18.5	26.61	17.19	10.43	9.34	1.4
1385	0.64	19.24	1.86	1.48	0.9	1.48	24.53	23.23	6.98	2.01
1386	3.78	30.37	5.89	13.9	5.08	19.19	12.02	32.8	1.78	3.06
1387	2.15	3.17	10.71	1.63	4.47	22.23	1.11	5.05	10.08	2.71
1388	20.81	7.33	2.29	7.14	2.82	4.62	2.37	3.56	21.42	6.47
1389	10.66	6.98	12.99	4.58	3.74	28.26	21.1	7.01	3.28	26.75
1390	6.07	32.18	3	2.5	2.68	8.45	9.14	8.18	4.87	1.28
1391	6.13	6.39	24.31	14.7	6.87	2	2.49	19.28	29.28	1.03
1392	2.2	4.56	3.1	13.13	3.97	30.03	1.01	7.67	6.34	2.17
1393	1.2	1.77	6.12	1.66	29.36	6.62	8.17	21.05	19.82	1.2
1394	24.22	1.5	1.99	2.98	29.87	9.48	29.94	1.63	23.33	12.44
1395	11.25	2.99	2.55	4.58	30.13	2.13	25.92	16.38	12.51	13.22
1396	2.64	24.23	3.8	29.24	12.66	1.84	2.55	12.78	7.98	29.9
1397	12.59	14.49	7.23	2.45	28.06	11.38	10.04	13.94	3.87	16.42
1398	24.51	1.57	1.98	1.49	2.63	1.41	4.79	23.38	1.2	2.34
1399	3.87	13.35	21.53	10.16	30.21	10.73	2.35	4.05	9.98	15.34
1400	12.75	1.16	10.21	30.03	10.85	16.78	1.6	2.02	2.42	2.56
1401	2.05	21.7	4.86	10.63	3.28	9.5	24.25	20.94	3.63	4.25
1402	8.68	1.24	10.12	0.97	15.2	2.98	1.27	3.22	2.76	2.23
1403	26.8	7.8	3.01	2.77	12.12	1.51	4.91	5.55	5.11	1.95
1404	4.42	3	10.41	1.71	6.83	1.42	5.93	18.54	2.22	10.58
1405	3.77	3.27	11.22	18.12	21.02	13.25	17.59	17.61	6.18	11.3
1406	16.04	22.45	3.16	3.96	28.59	2.21	1.59	3.62	2.4	1.22
1407	5.42	25.91	20.92	2.05	1.78	7.24	15.58	10.32	5.92	12.69
1408	1.12	3.45	2.62	2.97	25.57	17.3	6.73	7.97	14.22	2.95
1409	1.67	6.03	2.73	12.74	5.42	20.16	5.02	1.97	18.09	1.27
1410	2.18	1.28	11.03	23.79	4.99	2.99	11.5	3.44	1.77	3.25
1411	1.53	23.94	9.3	4.22	3.72	5.64	1.2	2.67	1.51	3.54
1412	3.55	14.25	1.12	6.26	28.36	17.74	1.03	1.53	2.84	22.21
1413	1.11	7.92	1.71	4.45	1.32	25.08	19.13	4.87	25.6	11.17
1414	7.56	21.6	21.72	7.85	1.95	9.24	1.64	2.86	2.82	1.54
1415	3.34	5.05	2.36	5.29	11.54	29.03	28.14	30.82	2.28	1.15
1416	6.48	4.62	13.67	2.57	0.99	19.99	1.23	24.87	1.46	7.45
1417	23.32	2.19	16.27	1.22	14.01	3.66	12.23	15.86	20.74	4.34
1418	4	4.25	1.58	20.43	13.13	23.94	1.09	6.84	1.72	1.42
1419	30.2	7.87	5.2	3.71	2.24	16.15	1.67	6.71	2.03	3.37
1420	3.97	6.36	6.92	4.04	1.4	1.16	9.63	14.13	15.47	1.12
1421	26.13	0.89	5.05	2.34	10.16	2.27	2.67	5.85	8.55	1.29
1422	10.19	31.67	21.04	9.98	9.7	4.55	4.1	2.24	5.51	6.28
1423	20.44	20.81	9.35	2.46	8.31	1.44	8.1	2.59	1.4	10.62
1424	2.62	12.52	7.59	4.74	19.07	1.55	1.48	9.36	10.46	10.18
1425	4.63	15.87	1.3	8.81	1.63	4.89	13.35	6.07	4.27	7.42
1426	1.1	18.42	9.6	0.96	20.88	3.86	1.23	7.21	1.2	11.24
1427	1.46	12.49	1.39	8.55	2.38	1.33	1.13	11.27	3.55	1.18
1428	4.73	4.2	1.3	17.67	5.24	1.84	1.24	1.88	2.17	3.67
1429	3.72	7.69	6.12	22.22	16.35	8.73	3.02	1.22	4.8	14.59
1430	13.45	0.76	24.77	2.07	3.59	4.34	1.81	5.02	4.56	25.92
1431	1.1	10.56	22.06	4.43	1.43	8.05	1.74	25.64	1.95	2.75
1432	15.72	3.43	3.13	1.06	9.45	4.33	5.95	30.78	3.5	2.31
1433	3.28	17.72	4.4	15.61	9.71	10.94	2.92	5.36	18.59	1.25
1434	3.89	9.36	2.66	5.93	0.93	1.18	5.81	2.65	30.02	3.81
1435	28.19	2.36	4.1	2.71	4.23	3.98	8.68	4.26	1.97	1.63
1436	4.95	1.79	10.94	4.8	4.12	1.39	2.68	5.43	13.07	19.53
1437	6.54	29.56	1.19	1.13	22.49	5.63	9.58	11.73	9.98	18.75
1438	29.46	1.94	0.99	13.3	19.86	1.15	5.96	1.85	9.32	12.17
1439	20.39	20.54	1.22	2.78	8.69	11.8	9.98	10.1	2.51	17.94
1440	2.45	2.8	1.81	13.34	4.49	12.89	16.65	1.63	3.7	17.62
1441	11.3	6.73	3.1	24.52	1.64	2.29	1.45	30.06	27.47	2.23
1442	4.62	3.71	2.52	5.83	25.34	4.29	1.7	20.31	1.13	5.49
1443	2.3	9.45	1.04	20.69	5.45	2.12	2.5	2.31	4.39	3.27
1444	11.1	22.69	2.29	1.45	6.1	1.54	1.18	1.99	9.32	1.32
1445	30.73	24.68	3.69	13.25	10.53	22.8	7.61	1.09	3.38	1.6
1446	3.03	13.79	2.57	0.96	2.97	1.72	5.81	3.3	22.4	2.32
1447	5.58	1.49	29.54	6.72	6.72	1.88	2.07	14.89	16.65	2.99
1448	3.3	7.01	3	12.04	2.1	7.57	17.02	3.81	25.83	2.3
1449	1.53	2.32	4.4	3.86	1.13	16.14	9.67	2.07	3.68	1.98
1450	14.55	19.03	5.2	31.82	26.6	5.4	1.98	15.14	21.26	1.93
1451	5.16	17.3	17.02	0.89	5.12	3.93	14.52	20.78	13.53	2.69
1452	2.17	7.38	3.32	10.22	20.55	1.96	3.54	2.56	1.79	17.45
1453	1.08	4.46	1.7	8.52	2	1.12	1.82	15.9	11.5	2.11
1454	11.69	19.91	5.85	7.79	12.43	1.02	4.01	8.24	1.17	5.82
1455	17.28	24.14	0.87	28.6	16.17	8.02	3.41	1.85	12.89	2.07
1456	1.2	1.38	5.51	1.31	3.95	2.66	6.77	5.93	1.28	6.88
1457	7.78	0.95	26.63	7.06	21.67	20.72	4.9	6.2	15.17	5.1
1458	1.15	2.03	2.68	1.47	12.55	1.43	6.22	13.28	4.21	15.6
1459	3.57	2.26	23.29	31.78	1.76	2.69	12.8	10.72	8.1	3.88
1460	12	26.11	2.1	3.54	1.98	21.22	1.82	2.78	3.34	5.54
1461	2.54	14.13	17.6	2.49	10.3	1.01	9.24	1	4.31	1.01
1462	4.58	21.48	1.14	4.78	4.54	13.1	31.42	1.25	1.09	4.9
1463	16.65	30.17	1.85	5.46	9.16	29.17	3.36	6.49	5.04	0.98
1464	3.37	1.12	19.26	4.18	13.95	12.21	16.89	3.11	6.93	5.02
1465	1.95	24.85	11.52	13.81	3.94	9.38	4.17	4.54	5.56	5.23
1466	2.91	4.67	1.96	5.62	1.61	7.17	28.14	3.77	4.06	7.65
1467	1.55	8.92	2	2.81	9.77	1.15	3	4.85	6.71	3.31
1468	19.64	11.59	2.26	1.22	6.06	4.4	2.57	1.61	2.89	1.52
1469	10.62	19.86	11.6	6.98	24.07	3.03	17.92	2.87	9.28	4.7
1470	1.88	4.09	8.51	24.99	2.84	3.51	2.96	12.57	5.45	2.93
1471	3.75	13.93	6.56	2.29	2.1	7.22	17.97	25.97	12.76	1.11
1472	19.62	11.31	3.17	12.24	22.71	21.1	29.1	21.47	1.45	1.91
1473	16.24	3.32	1.29	1.72	7.18	6.44	13.71	28.49	10.64	2.05
1474	1.95	2.67	2.88	29.55	0.89	7.41	9.17	1.94	3.55	27.49
1475	4.96	1.2	2	2.1	24.51	32.11	25.03	16.92	1.71	1.97
1476	5.11	25.8	4.38	2.85	4.44	2.17	1.48	13.42	19.53	6.98
1477	24.02	26.67	1.11	26.22	1.67	11.74	3.53	14.88	2.14	11.29
1478	4.29	7.93	32.67	6.66	2.56	1.59	13.04	2.81	5.13	11.77
1479	12.41	3.6	16.75	17.92	12.93	1.47	12.27	15.07	1.23	4.45
1480	11.4	8.72	2.06	2.21	1.85	28.49	12.39	3.03	1.88	1.95
1481	1.11	6.99	8.33	18.89	7.3	4.47	4.53	1.31	1.39	3.85
1482	1.05	1.3	2.22	2.55	1.19	16.25	3.75	22.28	2.94	1.73
1483	1.48	28.53	15.46	9.62	2.1	5.92	12.62	19.42	7.7	2.89
1484	3.37	11.27	1.99	14.06	2.87	3.17	6.24	1.17	1.02	1.85
1485	23.07	18.98	2.9	1.72	1.33	9.99	19.6	2.34	1.4	3.41
1486	5.23	4.52	12.59	17.24	11.7	7.02	21.38	12.93	1.29	6.08
1487	12.64	11.01	19.7	11.64	2.21	1.9	31.73	11.3	7.24	14.19
1488	12.75	2.8	13.37	8.5	3.57	3.7	3.25	1.81	2.55	8.56
1489	1.36	3.46	25.34	29.76	25.1	10.69	12.16	13.47	3.36	22.07
1490	20.31	2.26	1.11	1.74	3.24	2.31	1.55	4.95	18.66	14.97
1491	1.35	2.94	4.73	2.07	5.2	23.15	9.61	5.16	14.35	20.94
1492	1.77	2.5	29.06	3.13	1.89	1.84	3.07	9.28	3.73	3.3
1493	20.49	3.26	14.68	32.48	1.62	13.94	1.77	23.34	25.79	13.65
1494	8.86	5.43	3	6.84	1.62	21.36	2.08	6.17	1.7	9.6
1495	1.76	24.97	5.58	2.9	9.91	4.29	11.55	3.62	12.69	22.04
1496	10.58	6.5	6.82	7.24	2.59	4.28	1.03	1.24	13.84	2.25
1497	30.45	16.04	20.78	14.45	0.87	29.05	4.98	2.07	1.11	7.36
1498	22.38	7.34	15.96	1.93	20.64	18.84	4.94	5.52	1.43	4.32
1499	28	9.85	2.35	11.07	7.6	15.31	1.47	20.36	30.83	10.65
1500	4.42	19.02	6.3	12.19	10.07	13.17	21.89	1.33	1.47	25.46
1501	1.38	8.39	2.25	3	5.79	8.19	32.16	16.53	20.79	1.07
1502	21.03	7.13	20.33	1.15	30.32	2.95	11.99	2.59	2.25	18.14
1503	2.12	3.81	1.49	8.88	1.98	2.65	1.67	10.32	9.37	9.12
1504	6.54	8.56	7.57	17.25	1.7	21.65	12.05	2.35	1.5	1.37
1505	1.59	6.95	10.14	17.19	5.53	2.21	9.38	4.31	6.25	20.54
1506	3.81	7.98	15.48	6.03	1.43	14.58	22.26	5.86	11.21	1.69
1507	14.14	1.21	7.77	17.4	1.63	2.36	1.14	21.43	2.78	1.3
1508	9.5	13.53	22.53	6.36	1.93	5.35	2.51	24.89	7.36	20.88
1509	1.16	5.57	4.14	1.93	14.97	18.4	13.63	1.95	1.86	3.81
1510	7.54	31.39	4.67	17.78	11.92	6.15	24.37	1.12	3.88	3.05
1511	0.85	6.53	1.12	2.94	9.91	8.78	3.57	2.06	17.54	2.75
1512	10.17	0.96	2.48	10.07	13.13	1.42	1.78	5.59	3.27	2.55
1513	32.88	2.16	7.45	14.75	11.77	5.22	4.54	3.95	2.82	8.57
1514	19.43	3.48	9.92	13.2	3.16	3	1.73	22.86	2.78	10.16
1515	19.03	1.22	3.01	7.98	5.42	22.98	1.15	16.71	17.34	19.78
1516	3.85	7.26	4.16	5.42	23.86	7.11	6.57	7.47	14.02	1.65
1517	13.39	2.67	17.92	2.06	10.67	3.99	6.59	1.07	4.84	3.62
1518	3.66	3.04	1.04	17.63	22.03	14.67	3.28	1.39	1.25	29.71
1519	2.64	5.29	7.61	11.32	2.07	8.97	4.34	1.14	21.05	30.88
1520	4.27	3.47	19.93	1.41	1.27	7.98	23.84	7.85	14.52	13.81
1521	5.16	3.3	2.55	1.89	26.93	11.22	25.92	3.92	4.39	21.13
1522	19.36	1.12	4.84	6.18	16.09	11.14	18.78	4.27	1.38	8.54
1523	12.86	8.04	1.59	3.26	1.09	2.03	25.31	1.18	3.77	8.7
1524	35.51	3.44	29.7	3.95	5.25	10.83	2.85	9.75	12.07	1.15
1525	1.46	3.45	16.11	3.7	9.18	15.92	4.86	9.46	13.51	9.99
1526	16.41	8.68	9.37	32.74	25.44	12.72	1.22	2.25	15.37	1.15
1527	4.59	5.79	1.87	7.67	3.92	4.13	3.64	1.49	6.44	3.54
1528	19.83	11.37	9.79	3.18	1.53	4.43	2.42	8.55	1.4	2.91
1529	8.15	32.44	10.35	1.76	16.81	14.2	5.87	1.99	16.13	25.13
1530	28.84	5.42	1.08	24.49	10.15	4.75	4.57	8.52	2.44	2.4
1531	28.74	13.91	4.16	1.22	2.53	1.25	1.31	8.15	11.36	3.45
1532	2.75	18.96	22.93	7.58	1.84	3.61	3.46	4.51	3.06	1.49
1533	13.02	7.13	3.42	9.7	6.47	2.57	3.53	1.93	9.72	5.44
1534	1.26	8.53	10.36	14.64	3.06	12.18	2.86	3.33	4.21	3.72
1535	23.18	2	7.14	6.83	1.02	2.7	10.9	29.92	1.9	8.52
1536	1.41	0.99	24.79	18.11	5.94	10.21	13.93	5.99	1.71	1.2
1537	7.76	4.37	7.54	25.94	1.34	6.81	17.86	2.05	6.28	19.86
1538	8.7	17.82	1.68	7.69	7.81	31.23	13.82	1.96	6.69	1.55
1539	1.43	2.06	2.72	1.59	2.95	1.83	2.01	13.5	1.83	3.89
1540	5.98	11.93	6.05	13.15	3.19	16.66	10.87	18.8	1.14	1.08
1541	3.75	21.12	13.1	8.65	1.15	8.81	0.97	2.53	2.44	16.62
1542	1.16	1.83	10.22	20.38	6.95	29.85	2.61	2.08	1.08	7.18
1543	0.84	3.87	8.14	29	9.22	13.92	26	25.33	2.98	3.05
1544	22.18	3.05	1.08	26.4	29.05	1.36	10.92	3.94	11.71	15.14
1545	13.94	2.36	23.08	6.45	12.94	4.12	1.44	1.67	6.08	2.19
1546	4.72	27.58	12.16	6.98	2.21	2.66	1.89	2.65	21.75	8.95
1547	26.81	9.92	1.17	0.99	14.87	1.26	3.1	1.96	8.52	1.61
1548	5.59	0.95	1.64	18.3	11.34	7.69	27.88	1.17	7.84	1.57
1549	5.55	2.36	1.34	1.37	5.97	1.76	1.09	12.8	1.26	2.47
1550	9.84	18.06	7.22	3.78	1.77	3.33	8.09	1.22	12.41	15.21
1551	1.87	10.21	5.33	2.81	14.12	19.39	6.71	26.89	1.34	6.29
1552	1.31	2.05	7.26	3.57	16.68	10	2.81	2.12	7.61	1.58
1553	21.16	1.08	6.29	4.77	19.03	21.92	4.14	14.01	22.4	23.12
1554	2.42	18.79	2.07	6.51	29.04	2.11	16.39	22.89	2.9	9.48
1555	8.54	7.21	15.51	7.61	4.71	1.68	3.75	3.17	1.91	24.26
1556	19.78	2.11	32.2	11.14	19.98	27.44	19.24	5.74	9.24	2.88
1557	3.34	5.59	3.1	3.57	13.67	5.72	9.41	19.94	4.41	7.51
1558	31.8	3.07	11.28	15.31	3.21	24.22	14.36	3.53	12.51	2
1559	23.46	1.22	2.68	20.66	8.58	14.18	1.59	1.04	30.25	15.4
1560	13.18	27.47	2.28	6.79	1.86	2.11	13.4	3.96	5.92	32.01
1561	2.4	5.54	23.91	9.99	18.49	1.32	1.36	14.46	20.75	2.22
1562	13.32	2.18	3	1.55	2.04	0.91	18.56	5.56	15.94	13.36
1563	22.16	1.7	3.19	5.2	1.42	3.93	25.99	11.26	6.53	8.11
1564	1.3	14.18	3.5	1.59	3.47	1.72	14.93	12.19	19.09	9.06
1565	1.8	7.56	2.12	4.53	5.44	2.39	9.35	8.42	13.45	1.89
1566	19.68	5.74	9	11.48	2.43	2.26	4.47	26.58	31.59	7.05
1567	9.21	8.56	1.76	3.88	2.67	6.25	17.06	8.67	6.8	8.26
1568	20.12	2.82	7.63	9.34	1.99	17.2	1.3	1.34	5.33	10.24
1569	16	10.93	2.02	1.89	7.48	1.6	10.93	3.42	4.98	2.51
1570	3.82	6.71	2.16	2.81	2.59	1.06	1.41	2.03	1.62	7.84
1571	1.26	2.86	2.29	18.4	9.42	1.43	2.8	1.13	15.54	13.68
1572	7.5	2.94	31.05	4.32	5.68	29.12	4.94	27.3	4.97	2.72
1573	9.11	23.86	23.31	1.52	13.25	4.21	2.33	30.83	7.62	3.23
1574	15.24	21.65	13.92	10.24	4.07	10.62	4.32	4.1	7.78	9.87
1575	5.4	16.65	5.01	2.08	3.04	1.15	3.93	2.93	10.76	3.64
1576	25.1	9.84	5.72	16.8	27.97	28.32	21.28	14.75	1.18	1.1
1577	15.48	5.05	5.53	28.64	6.69	4.21	7.33	2.04	3.8	11.52
1578	1.59	7.47	1.29	1.19	2.79	2.21	2.65	2.19	18.94	1.28
1579	1.79	10.35	10.62	1.56	11.56	1.43	7.53	11.91	5.74	5.95
1580	19.44	18.77	4.16	1.18	6.16	16.51	29.6	3	25.89	3.99
1581	4.82	24.55	8.6	8.65	9.3	1.32	8.3	13.87	1.05	15.05
1582	21.21	1.09	24.14	16.87	1.16	5.59	24.07	24.18	1.35	3.79
1583	22.47	8.18	5.77	1.34	8.31	2.98	18.91	7.15	14.5	3.74
1584	16.54	3.69	5.96	3	2.12	4.27	11.74	1.65	1.3	6.03
1585	6.95	1.59	28.69	22.36	2.16	22.04	4.15	13.78	1.56	10.99
1586	8.57	9.23	19.6	15.78	2.25	1.54	3.77	9.06	2.12	4.54
1587	14.94	4.15	8.29	2.15	3	2.07	1.16	3.62	17.71	5.22
1588	5.26	1.64	12.06	24.97	1.57	12.34	8.65	3.84	18.92	27.46
1589	3.95	3.36	2.06	2.41	1.33	1.65	12.49	4.46	23.25	2.54
1590	7.67	2.61	4.13	4.32	7.78	7.42	3.57	30.02	6	20.74
1591	1.7	2.97	26.51	6.35	3.77	2.53	5.19	9.56	24.23	1.11
1592	15.42	12.36	12.33	12.52	1.64	1.83	3.85	17.36	17.2	9.43
1593	6.08	6.05	2.1	1.7	3.43	31.69	12.41	1.1	16.17	19.44
1594	1.75	1.12	3.12	9.36	24.17	30.7	7.38	0.95	18.23	4.87
1595	1.47	3.77	10.84	1.39	16.93	1.7	21.51	11.98	4.49	0.86
1596	1.23	31.11	6.78	30.92	4	3.14	15.7	12.4	11.7	2.92
1597	0.72	18.61	1.36	3.48	1.16	14.32	1.74	1.37	26.97	7.6
1598	2.12	9.59	1.49	1.27	20.56	7.19	28.54	4.01	1.23	3.71
1599	19.95	31.38	1.56	1.8	23.6	3.6	6.09	21.89	1.77	15.89
1600	1.55	19.72	7.61	1.47	29.52	2.33	12.98	1.97	11.04	1.56
1601	1.75	2.3	20.69	2.31	3.95	22.6	6.82	11.53	10.35	0.93
1602	1.18	2.71	13.36	2.1	2.01	12.28	31.8	18.58	1.03	4.64
1603	0.98	1.02	9.01	20.03	1.72	8.07	3	12.95	23.14	11.55
1604	24.86	26.38	0.92	25.78	9.43	30.42	1.18	5.08	2.9	4.98
1605	18.54	8.42	19.64	1.19	23.99	12.46	1.32	1.12	1.07	5.82
1606	1.89	27.53	3.55	4.23	1.19	20.02	1.68	3.88	2.4	5.72
1607	5.21	3.73	25.68	6.26	5.35	4.73	4.55	14.04	1.2	1.82
1608	3.32	8.76	4.8	10.14	26.87	26.53	12.96	2.61	8.63	2.65
1609	2.52	5.26	4.57	1.62	2.84	26.27	2.1	20.18	1.35	13
1610	1.8	1.67	2.62	1.43	1.84	2.95	2.35	4.84	2.21	1.05
1611	3.82	2	1.63	7.77	15.83	3.58	15.13	17.1	23.86	2.08
1612	11.36	1.64	3.92	1.97	1.93	2.61	1.33	3.64	4.97	1.49
1613	3.48	19.5	16.23	11.52	3.61	21.27	1.67	18.87	9.7	3.26
1614	11.81	1.02	15.66	7.29	2.58	2.43	20.06	9.91	1.75	1.47
1615	19.72	31.82	7.91	3.74	1.38	1.69	2.76	9.15	18.75	2.4
1616	20.18	1.17	28.6	1.35	7.5	1.09	8.04	7.93	2.62	3.02
1617	15.28	27.5	5.76	5.7	29.54	10.16	2.69	14.12	6.25	16.47
1618	3.08	33.81	2.53	5.47	1.54	2.8	1.49	5.98	1.4	22.65
1619	1.09	3.04	5.18	4.14	5.8	1.14	2.67	3.78	20.53	16.64
1620	25.77	1.55	5.3	4.81	2.09	21.75	2.44	7.41	1.51	20.22
1621	10.23	2.69	1.12	18.78	6.24	1.94	19.43	8.85	3.12	9.51
1622	6.58	2.47	10.92	6.88	2.1	2.81	13.95	2.71	5.61	21.85
1623	13.77	1.71	6.19	7.49	1.41	29.93	14.69	7.13	12.37	1.79
1624	1.52	8.91	1.8	11.93	3.34	1.09	3.04	1.51	3.25	19.79
1625	12.73	6.42	3.31	2.8	1.58	4.29	13.63	4.1	2.95	14.63
1626	18.18	3.9	7.86	6.39	8.31	2.78	0.99	2.97	12.86	5.51
1627	1.25	1.03	10.15	8.5	5.5	32.01	29.02	0.97	32.09	10.94
1628	19.9	15.29	1.61	3.99	2.53	1.62	3.73	6.83	1.82	9.92
1629	4.07	5.12	15.92	6.99	2.15	13.22	11.81	3.53	13.65	5.61
1630	14.02	1.11	3.78	8.94	2.82	1.06	2.19	18.22	1.44	2.24
1631	36.8	2.69	7.06	26.95	16.56	4.82	19.19	13.74	5.34	12.22
1632	3.22	3.16	9.39	5.22	2.34	2.64	6.42	1.23	1.06	11.64
1633	17.02	0.89	5.48	1.65	21.31	1.45	16.79	5.37	5.57	15.58
1634	1.64	3.69	9.05	27.89	6.21	11.43	3	4.56	10.11	3.39
1635	1.2	3.32	13.23	1.65	11.53	18.46	3.71	1.32	24.94	3.09
1636	6.34	12.11	3.79	14.53	12.87	2.21	30.84	1.97	2.74	11.87
1637	1.37	8.25	1.27	3.02	29.52	2.36	4.92	7.09	9.84	1.94
1638	1.42	16.06	1.3	3.14	2.22	1.11	1.4	1.98	3.74	1.8
1639	11.85	1.4	1.97	0.93	8.7	11.3	4.97	2.34	16.39	5.9
1640	1.2	4.76	1.8	2.11	8.43	2.08	3.16	9.47	3.06	20.07
1641	4.45	1.2	10.46	3.59	23.65	28.56	4.55	2.92	1.54	17.09
1642	13.2	18.95	1.83	7.69	16.53	6.65	3.98	2.2	1.19	10.48
1643	19.75	22.35	12.72	2.63	19.92	2.19	1.66	3.69	2.14	21
1644	3.57	6.04	2.8	12.53	4.28	1.18	23.15	10.97	1.14	5.33
1645	8.82	21.73	21.93	19.55	26.25	4.41	18.64	2.07	0.95	3.71
1646	3.55	2.22	30.55	2.71	2.04	3.22	6.79	1.08	3.51	1.73
1647	5.16	7.52	10.03	29.67	11.76	16.42	16.27	10.55	1.59	1.79
1648	2.53	4.91	5.53	2.45	5	25.32	1.79	11.53	15.82	1.16
1649	8.25	1.07	4.08	1.46	1.55	20.34	2.55	8.36	1.41	8.25
1650	22.38	13.3	13.53	31.61	4.8	2.47	2.58	10.61	2	4.3
1651	6.9	8.3	1.67	3.38	16.32	3.02	3.4	2.47	3.69	5.57
1652	0.94	7.33	6.62	8.89	1.96	2.17	6.98	2.31	1.21	1.23
1653	1.42	7.08	0.89	2.69	20.55	15.84	2.33	14.68	14.25	4.45
1654	2.78	12.44	3.81	28.43	4.27	10.55	23.69	6.26	28.54	3.85
